Player,Pos,Squad,90s,Crs,Int,TklW,PlayerID,Crs_per90,Int_per90,TklW_per90
Anthony Gordon,FW,Newcastle,19.9,69,3,13,2bd83368,3.4673366834170856,0.15075376884422112,0.6532663316582915
Ryan Gravenberch,MF,Liverpool,33.2,8,44,35,b8e740fb,0.24096385542168672,1.325301204819277,1.0542168674698795
Archie Gray,MFDF,Tottenham,16.4,12,17,8,f58515f5,0.7317073170731708,1.0365853658536586,0.48780487804878053
Jack Grealish,MF,Everton,18.1,39,11,15,b0b4fd3e,2.154696132596685,0.6077348066298343,0.8287292817679557
Pascal Groß,MF,Brighton,18.2,119,11,17,8aec0537,6.538461538461538,0.6043956043956045,0.9340659340659341
Brajan Gruda,MF,Brighton,8.0,14,2,5,ae9b998d,1.75,0.25,0.625
Ilia Gruev,MF,Leeds United,14.7,16,14,13,1fc4f3d1,1.08843537414966,0.9523809523809524,0.8843537414965987
Gabriel Gudmundsson,DFMF,Leeds United,29.2,88,28,47,d5d22a58,3.0136986301369864,0.9589041095890412,1.6095890410958904
Marc Guéhi,DF,Crystal Palace,20.0,10,24,19,d0706b27,0.5,1.2,0.95
Marc Guéhi,DF,Manchester City,15.0,7,25,12,d0706b27,0.4666666666666667,1.6666666666666667,0.8
Evann Guessand,MF,Aston Villa,6.5,10,3,9,b73f17f8,1.5384615384615385,0.46153846153846156,1.3846153846153846
Idrissa Gueye,MF,Everton,23.3,19,29,21,72c812f3,0.815450643776824,1.2446351931330473,0.9012875536480687
Bruno Guimarães,MF,Newcastle,27.3,82,16,41,82518f62,3.0036630036630036,0.5860805860805861,1.5018315018315018
Malo Gusto,DFMF,Chelsea,25.1,58,30,23,d56b9520,2.3107569721115535,1.195219123505976,0.9163346613545816
Joško Gvardiol,DF,Manchester City,15.2,2,16,13,5ad50391,0.13157894736842105,1.0526315789473684,0.8552631578947368
Viktor Gyökeres,FW,Arsenal,24.7,8,1,5,4d5a9185,0.32388663967611336,0.04048582995951417,0.20242914979757085
Erling Haaland,FW,Manchester City,32.8,3,4,7,1f44ac21,0.09146341463414635,0.12195121951219513,0.2134146341463415
Lewis Hall,DF,Newcastle,24.2,102,29,31,da011f18,4.214876033057851,1.1983471074380165,1.28099173553719
Quilindschy Hartman,DF,Burnley,20.3,74,32,31,39e1138f,3.645320197044335,1.5763546798029555,1.5270935960591132
Jorrel Hato,DF,Chelsea,12.8,7,17,19,bde35051,0.546875,1.328125,1.484375
Kai Havertz,FWMF,Arsenal,6.5,6,1,5,fed7cb61,0.9230769230769231,0.15384615384615385,0.7692307692307693
Ayden Heaven,DF,Manchester Utd,10.3,1,1,13,64e17fab,0.0970873786407767,0.0970873786407767,1.262135922330097
Jan Paul van Hecke,DF,Brighton,35.7,23,45,31,4fd08daa,0.6442577030812324,1.2605042016806722,0.8683473389355741
Hwang Hee-chan,FWMF,Wolves,16.1,19,12,4,169fd162,1.1801242236024843,0.7453416149068323,0.24844720496894407
Dean Henderson,GK,Crystal Palace,37.0,0,1,0,e5a76dfe,0.0,0.02702702702702703,0.0
Jordan Henderson,MF,Brentford,21.3,48,16,14,935e6b8f,2.2535211267605635,0.7511737089201878,0.6572769953051643
Rico Henry,DF,Brentford,14.8,26,7,11,8a3c1dc7,1.7567567567567566,0.47297297297297297,0.7432432432432432
Mads Hermansen,GK,West Ham,18.0,0,0,0,c924b17d,0.0,0.0,0.0
Aaron Hickey,DFMF,Brentford,7.7,4,8,7,1780bb4a,0.5194805194805194,1.0389610389610389,0.9090909090909091
James Hill,DF,Bournemouth,23.4,11,37,20,69942fb3,0.47008547008547014,1.5811965811965814,0.8547008547008548
